group,dev,s,row_idx,col_idx,time_ms,minors_tested,matrix,is_principal,prime
25,3,15,"11,15,16,18,23","7,12,15,16,17",5771.8259,65545216.0,kernel_25_43.txt,False,33554393
25,3,11,"3,11,12,16,22","4,6,11,12,19",4107.3101,47134912.0,kernel_25_45.txt,False,33554393
25,3,0,"0,1,11,12,18","0,1,5,21,23",180.856,2072576.0,kernel_25_46.txt,False,33554393
25,3,21,"7,17,19,21,22","2,21,22,24,25",7807.165,88100672.0,kernel_25_47.txt,False,33554393
25,3,8,"1,8,9,11,15","4,8,9,20,24",3164.064,36869184.0,kernel_25_48.txt,False,33554393
25,3,5,"0,3,5,6,16","3,5,6,10,16",1919.4971,22555456.0,kernel_25_49.txt,False,33554393
25,3,0,"0,1,7,12,13","0,1,6,15,16",173.625,2072576.0,kernel_25_5.txt,False,33554393
25,3,0,"0,1,15,18,21","0,1,4,5,8",180.7629,2072576.0,kernel_25_50.txt,False,33554393
25,3,0,"0,1,17,23,24","0,1,13,14,22",337.3979,4096576.0,kernel_25_52.txt,False,33554393
25,3,0,"0,1,6,16,18","0,1,4,15,23",174.4238,2072576.0,kernel_25_53.txt,False,33554393
25,3,5,"5,6,11,14,20","0,5,6,9,13",1916.0,22555456.0,kernel_25_54.txt,False,33554393
25,3,2,"2,3,5,13,17","2,3,14,17,25",1038.9958,12289728.0,kernel_25_55.txt,False,33554393
25,3,5,"2,5,6,13,19","5,6,14,20,21",2084.1958,24579456.0,kernel_25_56.txt,False,33554393
25,3,20,"10,14,15,20,21","4,20,21,22,25",7650.0059,86028096.0,kernel_25_57.txt,False,33554393
25,3,16,"5,7,16,17,20","0,4,5,16,17",5983.3921,67617792.0,kernel_25_58.txt,False,33554393
25,3,1,"1,2,16,19,21","1,2,7,18,22",700.05,8193152.0,kernel_25_59.txt,False,33554393
25,3,0,"0,1,5,15,25","0,1,2,18,25",171.7122,2072576.0,kernel_25_6.txt,False,33554393
25,3,5,"5,6,13,20,22","0,5,6,12,23",1928.2051,22555456.0,kernel_25_60.txt,False,33554393
25,3,15,"9,12,15,16,21","9,12,13,15,16",5790.3301,65545216.0,kernel_25_61.txt,False,33554393
25,3,2,"2,3,9,17,25","2,3,13,14,25",1044.3809,12289728.0,kernel_25_63.txt,False,33554393
25,3,6,"6,7,21,22,24","2,5,6,7,8",2265.3188,26652032.0,kernel_25_64.txt,False,33554393
25,3,5,"5,6,12,14,17","0,1,2,5,6",1931.668,22555456.0,kernel_25_65.txt,False,33554393
25,3,0,"0,1,14,19,23","0,1,2,19,23",172.739,2072576.0,kernel_25_66.txt,False,33554393
25,3,8,"0,8,9,21,22","3,8,9,10,13",3000.748,34845184.0,kernel_25_67.txt,False,33554393
25,3,1,"1,2,8,14,24","1,2,4,8,20",510.1189,6169152.0,kernel_25_68.txt,False,33554393
25,3,13,"6,8,11,13,14","1,12,13,14,24",4826.3772,55328064.0,kernel_25_69.txt,False,33554393
25,3,5,"1,3,5,6,20","1,5,6,8,16",1918.219,22555456.0,kernel_25_7.txt,False,33554393
25,3,9,"0,3,9,10,11","3,9,10,12,20",3354.905,38941760.0,kernel_25_70.txt,False,33554393
25,3,2,"2,3,5,14,21","2,3,17,21,25",1035.575,12289728.0,kernel_25_71.txt,False,33554393
25,3,0,"0,1,16,17,24","0,1,4,7,10",182.4141,2072576.0,kernel_25_72.txt,False,33554393
25,3,21,"2,4,8,21,22","3,19,20,21,22",7830.5801,88100672.0,kernel_25_73.txt,False,33554393
25,3,1,"0,1,2,5,11","1,2,6,7,16",516.665,6169152.0,kernel_25_74.txt,False,33554393
25,3,9,"9,10,14,16,23","4,6,9,10,12",3359.3589,38941760.0,kernel_25_75.txt,False,33554393
25,3,5,"0,5,6,10,20","5,6,11,19,21",2084.387,24579456.0,kernel_25_76.txt,False,33554393
25,3,2,"1,2,3,12,16","2,3,10,12,24",1038.551,12289728.0,kernel_25_77.txt,False,33554393
25,3,0,"0,1,8,15,17","0,1,4,9,17",179.595,2072576.0,kernel_25_78.txt,False,33554393
25,3,21,"6,15,21,22,25","0,7,10,21,22",7847.113,88100672.0,kernel_25_79.txt,False,33554393
25,3,5,"2,3,5,6,9","0,3,5,6,8",1913.4761,22555456.0,kernel_25_8.txt,False,33554393
25,3,1,"1,2,10,21,23","1,2,7,13,24",700.51,8193152.0,kernel_25_80.txt,False,33554393
25,3,1,"1,2,3,13,23","1,2,4,7,9",517.124,6169152.0,kernel_25_81.txt,False,33554393
25,3,15,"15,16,18,21,22","0,6,12,15,16",5595.3608,63521216.0,kernel_25_82.txt,False,33554393
25,3,0,"0,1,10,18,25","0,1,4,5,24",175.4558,2072576.0,kernel_25_83.txt,False,33554393
25,3,15,"2,7,13,15,16","4,6,15,16,20",5575.7249,63521216.0,kernel_25_84.txt,False,33554393
25,3,8,"0,8,9,10,20","1,8,9,16,17",2998.0261,34845184.0,kernel_25_85.txt,False,33554393
25,3,15,"10,15,16,23,24","9,12,15,16,22",5752.5078,65545216.0,kernel_25_86.txt,False,33554393
25,3,3,"3,4,7,14,18","3,4,8,15,23",1392.313,16386304.0,kernel_25_87.txt,False,33554393
25,3,1,"1,2,6,9,13","1,2,11,14,15",701.1289,8193152.0,kernel_25_88.txt,False,33554393
25,3,1,"1,2,16,17,21","1,2,3,17,18",523.3682,6169152.0,kernel_25_89.txt,False,33554393
25,3,10,"4,9,10,11,18","0,5,10,11,16",3731.8999,43038336.0,kernel_25_9.txt,False,33554393
25,3,13,"10,13,14,16,18","1,7,9,13,14",4830.927,55328064.0,kernel_25_90.txt,False,33554393
25,3,2,"2,3,9,14,24","2,3,7,17,22",1033.8081,12289728.0,kernel_25_91.txt,False,33554393
25,3,13,"7,9,13,14,18","9,13,14,15,16",5017.7949,57352064.0,kernel_25_92.txt,False,33554393
25,3,11,"3,9,11,12,24","5,8,11,12,25",4271.48,49158912.0,kernel_25_93.txt,False,33554393
25,3,1,"1,2,6,21,22","1,2,9,15,17",689.73,8193152.0,kernel_25_94.txt,False,33554393
25,3,10,"10,11,20,24,25","10,11,12,13,21",3916.1221,45062336.0,kernel_25_95.txt,False,33554393
25,3,3,"0,3,4,14,23","0,2,3,4,19",1220.502,14362304.0,kernel_25_96.txt,False,33554393
25,3,6,"6,7,12,13,25","6,7,16,17,18",2446.4729,28676032.0,kernel_25_97.txt,False,33554393
25,3,9,"3,4,9,10,16","9,10,14,23,25",3534.262,40965760.0,kernel_25_98.txt,False,33554393
25,3,2,"2,3,4,12,14","2,3,6,7,20",865.4229,10265728.0,kernel_25_99.txt,False,33554393
25,3,2,"2,3,6,14,18","2,3,12,19,22",1032.501,12289728.0,,False,33554393
25,4,0,"0,1,3,18,19,25","0,1,6,8,15,20",11683.241,87048192.0,kernel_25_10.txt,False,33554393
25,4,0,"0,1,5,23,24,25","0,1,3,8,12,24",11894.8921,87048192.0,kernel_25_100.txt,False,33554393
25,4,0,"0,1,8,12,21,22","0,1,2,12,15,23",12031.728,87048192.0,kernel_25_11.txt,False,33554393
25,4,0,"0,1,4,17,18,22","0,1,7,8,17,25",11887.751,87048192.0,kernel_25_12.txt,False,33554393
25,4,0,"0,1,5,7,15,20","0,1,5,12,19,24",11716.3379,87048192.0,kernel_25_13.txt,False,33554393
25,4,0,"0,1,2,7,22,24","0,1,7,14,16,18",11633.1072,87048192.0,kernel_25_14.txt,False,33554393
25,4,0,"0,1,5,14,16,19","0,1,2,7,15,18",11877.3481,87048192.0,kernel_25_15.txt,False,33554393
25,4,0,"0,1,3,4,6,17","0,1,7,8,12,21",11806.282,87048192.0,kernel_25_16.txt,False,33554393
25,4,0,"0,1,2,8,18,22","0,1,7,8,12,18",11645.6821,87048192.0,kernel_25_17.txt,False,33554393
25,4,0,"0,1,3,10,15,24","0,1,2,10,21,22",11810.248,87048192.0,kernel_25_18.txt,False,33554393
25,4,0,"0,1,3,9,12,22","0,1,2,3,6,17",11684.179,87048192.0,kernel_25_19.txt,False,33554393
25,4,0,"0,1,2,13,14,22","0,1,8,11,12,19",11467.7961,87048192.0,kernel_25_2.txt,False,33554393
25,4,0,"0,1,2,11,21,25","0,1,3,7,13,19",11725.3171,87048192.0,kernel_25_20.txt,False,33554393
25,4,0,"0,1,3,5,12,23","0,1,6,7,8,10",11743.582,87048192.0,kernel_25_21.txt,False,33554393
25,4,0,"0,1,2,4,9,14","0,1,6,13,14,22",11655.467,87048192.0,kernel_25_22.txt,False,33554393
25,4,0,"0,1,2,4,13,18","0,1,2,7,19,22",11683.98,87048192.0,kernel_25_23.txt,False,33554393
25,4,0,"0,1,2,13,18,23","0,1,3,8,16,18",11857.074,87048192.0,kernel_25_24.txt,False,33554393
25,4,0,"0,1,3,6,10,11","0,1,3,17,21,24",11856.7419,87048192.0,kernel_25_25.txt,False,33554393
25,4,0,"0,1,3,6,21,23","0,1,2,4,13,22",11562.071,87048192.0,kernel_25_26.txt,False,33554393
25,4,0,"0,1,10,13,20,24","0,1,9,20,23,25",15278.676,112911876.0,kernel_25_27.txt,False,33554393
25,4,0,"0,1,5,9,12,23","0,1,6,13,16,24",11868.9639,87048192.0,kernel_25_28.txt,False,33554393
25,4,0,"0,1,3,11,21,24","0,1,7,17,19,22",11960.696,87048192.0,kernel_25_29.txt,False,33554393
25,4,0,"0,1,4,9,18,20","0,1,3,12,13,17",11761.3359,87048192.0,kernel_25_3.txt,False,33554393
25,4,0,"0,1,5,6,8,23","0,1,6,17,18,25",11725.959,87048192.0,kernel_25_30.txt,False,33554393
25,4,0,"0,1,3,6,9,17","0,1,7,15,20,25",11771.781,87048192.0,kernel_25_31.txt,False,33554393
25,4,0,"0,1,13,16,21,23","0,1,3,10,15,18",11732.2122,87048192.0,kernel_25_32.txt,False,33554393
25,4,0,"0,1,2,3,4,9","0,1,2,12,20,24",11761.4509,87048192.0,kernel_25_33.txt,False,33554393
25,4,0,"0,1,3,10,15,24","0,1,8,12,18,23",11659.2798,87048192.0,kernel_25_34.txt,False,33554393
25,4,0,"0,1,4,10,11,18","0,1,5,9,14,16",11630.075,87048192.0,kernel_25_35.txt,False,33554393
25,4,0,"0,1,7,10,15,24","0,1,3,15,17,21",11884.29,87048192.0,kernel_25_36.txt,False,33554393
25,4,0,"0,1,5,9,20,24","0,1,2,4,17,22",11791.689,87048192.0,kernel_25_37.txt,False,33554393
25,4,0,"0,1,9,12,16,23","0,1,3,6,13,22",11689.3779,87048192.0,kernel_25_38.txt,False,33554393
25,4,0,"0,1,2,4,7,22","0,1,8,17,23,24",11831.4521,87048192.0,kernel_25_39.txt,False,33554393
25,4,0,"0,1,10,12,13,19","0,1,4,14,19,21",11532.1841,87048192.0,kernel_25_4.txt,False,33554393
25,4,0,"0,1,4,8,20,22","0,1,3,6,20,25",11536.2119,87048192.0,kernel_25_40.txt,False,33554393
25,4,0,"0,1,2,4,17,18","0,1,6,9,18,23",11689.9829,87048192.0,kernel_25_41.txt,False,33554393
25,4,0,"0,1,5,6,19,21","0,1,3,13,20,21",11687.8811,87048192.0,kernel_25_42.txt,False,33554393
25,4,0,"0,1,2,3,16,21","0,1,5,9,11,20",11666.5251,87048192.0,kernel_25_43.txt,False,33554393
25,4,0,"0,1,2,15,17,21","0,1,4,6,19,21",11730.8779,87048192.0,kernel_25_44.txt,False,33554393
25,4,0,"0,1,3,4,16,24","0,1,4,7,8,16",11690.3162,87048192.0,kernel_25_45.txt,False,33554393
25,4,0,"0,1,14,16,17,24","0,1,7,8,20,24",11932.7942,87048192.0,kernel_25_46.txt,False,33554393
25,4,1,"1,2,4,8,10,17","1,2,5,12,17,22",26570.4448,199960068.0,kernel_25_47.txt,False,33554393
25,4,0,"0,1,9,14,15,17","0,1,3,7,8,15",11526.241,87048192.0,kernel_25_48.txt,False,33554393
25,4,1,"1,2,4,5,6,22","1,2,4,8,13,17",26837.8279,199960068.0,kernel_25_49.txt,False,33554393
25,4,0,"0,1,2,16,18,24","0,1,6,7,9,22",11730.604,87048192.0,kernel_25_5.txt,False,33554393
25,4,0,"0,1,2,5,21,22","0,1,2,11,17,20",11805.3611,87048192.0,kernel_25_50.txt,False,33554393
25,4,0,"0,1,4,16,17,22","0,1,3,4,8,16",11511.7148,87048192.0,kernel_25_51.txt,False,33554393
25,4,0,"0,1,2,6,9,12","0,1,3,17,23,24",11774.415,87048192.0,kernel_25_52.txt,False,33554393
25,4,0,"0,1,3,10,14,25","0,1,2,8,20,22",11765.6851,87048192.0,kernel_25_53.txt,False,33554393
25,4,0,"0,1,4,11,17,23","0,1,6,14,22,25",11616.8862,87048192.0,kernel_25_54.txt,False,33554393
25,4,1,"0,1,2,3,5,9","1,2,3,5,16,24",27068.0891,199960068.0,kernel_25_55.txt,False,33554393
25,4,0,"0,1,3,4,9,20","0,1,7,8,17,22",11494.521,87048192.0,kernel_25_56.txt,False,33554393
25,4,0,"0,1,6,12,16,23","0,1,2,3,17,21",11789.147,87048192.0,kernel_25_57.txt,False,33554393
25,4,0,"0,1,2,3,15,24","0,1,2,7,15,18",11797.906,87048192.0,kernel_25_58.txt,False,33554393
25,4,0,"0,1,2,5,15,17","0,1,4,5,10,13",11770.686,87048192.0,kernel_25_59.txt,False,33554393
25,4,0,"0,1,2,19,20,23","0,1,3,5,10,22",11548.457,87048192.0,kernel_25_6.txt,False,33554393
25,4,0,"0,1,4,17,21,24","0,1,4,6,7,8",11789.1182,87048192.0,kernel_25_60.txt,False,33554393
25,4,0,"0,1,2,15,24,25","0,1,5,7,9,23",11707.4661,87048192.0,kernel_25_61.txt,False,33554393
25,4,0,"0,1,4,18,19,25","0,1,3,9,19,20",11809.1531,87048192.0,kernel_25_62.txt,False,33554393
25,4,0,"0,1,3,5,17,18","0,1,6,7,9,25",11560.356,87048192.0,kernel_25_63.txt,False,33554393
25,4,0,"0,1,8,12,17,24","0,1,2,21,22,25",11678.6289,87048192.0,kernel_25_64.txt,False,33554393
25,4,0,"0,1,2,13,23,24","0,1,7,10,12,13",11590.1528,87048192.0,kernel_25_65.txt,False,33554393
25,4,0,"0,1,9,10,17,18","0,1,5,8,13,17",11693.1621,87048192.0,kernel_25_66.txt,False,33554393
25,4,0,"0,1,7,8,11,16","0,1,2,4,12,13",11723.5981,87048192.0,kernel_25_67.txt,False,33554393
25,4,0,"0,1,2,7,16,23","0,1,5,8,19,21",11532.3901,87048192.0,kernel_25_68.txt,False,33554393
25,4,0,"0,1,3,16,24,25","0,1,5,7,10,18",11805.946,87048192.0,kernel_25_69.txt,False,33554393
25,4,0,"0,1,4,15,19,21","0,1,3,10,19,21",11704.4651,87048192.0,kernel_25_7.txt,False,33554393
25,4,0,"0,1,2,3,10,19","0,1,2,17,21,22",11620.3,87048192.0,kernel_25_70.txt,False,33554393
25,4,0,"0,1,4,11,13,15","0,1,10,17,21,25",15129.8999,112911876.0,kernel_25_71.txt,False,33554393
25,4,0,"0,1,2,3,7,25","0,1,4,10,19,23",11794.9648,87048192.0,kernel_25_72.txt,False,33554393
25,4,0,"0,1,3,19,21,23","0,1,4,18,20,22",11628.7258,87048192.0,kernel_25_73.txt,False,33554393
25,4,0,"0,1,2,6,8,17","0,1,6,11,13,25",11633.5161,87048192.0,kernel_25_74.txt,False,33554393
25,4,0,"0,1,3,4,16,25","0,1,7,12,15,25",11798.1511,87048192.0,kernel_25_75.txt,False,33554393
25,4,0,"0,1,4,10,12,25","0,1,6,11,15,25",11575.5371,87048192.0,kernel_25_76.txt,False,33554393
25,4,0,"0,1,2,5,8,16","0,1,3,12,21,22",11784.8579,87048192.0,kernel_25_77.txt,False,33554393
25,4,0,"0,1,6,19,20,25","0,1,3,11,12,13",11717.0098,87048192.0,kernel_25_78.txt,False,33554393
25,4,0,"0,1,3,4,6,24","0,1,2,12,20,21",11514.9841,87048192.0,kernel_25_79.txt,False,33554393
25,4,0,"0,1,4,6,9,21","0,1,2,7,14,24",11507.5481,87048192.0,kernel_25_8.txt,False,33554393
25,4,0,"0,1,5,11,15,19","0,1,5,19,20,22",11799.843,87048192.0,kernel_25_80.txt,False,33554393
25,4,0,"0,1,8,11,14,23","0,1,13,14,16,24",15177.8191,112911876.0,kernel_25_81.txt,False,33554393
25,4,0,"0,1,9,10,15,25","0,1,11,12,15,21",15428.7749,112911876.0,kernel_25_82.txt,False,33554393
25,4,0,"0,1,2,8,19,22","0,1,2,12,21,23",11747.0781,87048192.0,kernel_25_83.txt,False,33554393
25,4,0,"0,1,4,6,14,19","0,1,3,12,13,15",11682.2061,87048192.0,kernel_25_84.txt,False,33554393
25,4,0,"0,1,3,5,11,13","0,1,6,7,15,16",11522.031,87048192.0,kernel_25_85.txt,False,33554393
25,4,0,"0,1,3,8,15,24","0,1,6,8,19,21",11636.9199,87048192.0,kernel_25_86.txt,False,33554393
25,4,0,"0,1,2,11,13,23","0,1,4,5,8,12",11950.4011,87048192.0,kernel_25_87.txt,False,33554393
25,4,0,"0,1,13,17,18,21","0,1,4,13,14,20",11823.8291,87048192.0,kernel_25_88.txt,False,33554393
25,4,0,"0,1,10,16,19,23","0,1,4,5,12,21",11796.1179,87048192.0,kernel_25_89.txt,False,33554393
25,4,0,"0,1,2,9,17,20","0,1,5,8,17,21",11854.854,87048192.0,kernel_25_9.txt,False,33554393
25,4,0,"0,1,2,16,19,22","0,1,8,11,18,21",11727.0801,87048192.0,kernel_25_90.txt,False,33554393
25,4,0,"0,1,4,7,19,25","0,1,6,15,17,21",11651.0679,87048192.0,kernel_25_91.txt,False,33554393
25,4,0,"0,1,5,7,11,25","0,1,4,14,15,25",11821.5332,87048192.0,kernel_25_92.txt,False,33554393
25,4,0,"0,1,3,7,11,25","0,1,8,17,19,24",11688.3379,87048192.0,kernel_25_93.txt,False,33554393
25,4,0,"0,1,2,3,5,17","0,1,4,9,13,25",11662.9028,87048192.0,kernel_25_94.txt,False,33554393
25,4,0,"0,1,2,17,21,23","0,1,5,6,16,17",11804.0659,87048192.0,kernel_25_95.txt,False,33554393
25,4,0,"0,1,8,17,18,25","0,1,4,8,9,25",11800.0251,87048192.0,kernel_25_96.txt,False,33554393
25,4,0,"0,1,5,7,16,17","0,1,2,3,7,8",11668.3108,87048192.0,kernel_25_97.txt,False,33554393
25,4,0,"0,1,2,18,19,25","0,1,4,16,22,25",11754.022,87048192.0,kernel_25_98.txt,False,33554393
25,4,0,"0,1,3,13,14,21","0,1,4,9,10,23",11751.374,87048192.0,kernel_25_99.txt,False,33554393
25,4,0,"0,1,2,8,15,24","0,1,2,8,17,25",11521.4951,87048192.0,,False,33554393
